نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
تسه9905,امتياز تسهيلات مسكن مرداد99,14,795,457080040,584184,572225,565000,"-19,184.00",-3.28,574943,"-9,241.00",-1.58,565000,580060
تسه9901,امتياز تسهيلات مسكن فروردين99,14,145,84874098,573502,565555,602177,"28,675.00",5.00,585339,"11,837.00",2.06,565555,602177
ضشنا8006,اختيارخ شپنا-14800-1400/08/16,14,59,84083000,1733,1300,1598,-135.00,-7.79,1425,-308.00,-17.77,1300,1598
ضملي7005,اختيارخ فملي-15720-1400/07/11,14,157,91720000,496,600,550,54.00,10.89,584,88.00,17.74,500,600
ضشنا8003,اختيارخ شپنا-8800-1400/08/16,13,122,578751000,5921,3727,5550,-371.00,-6.27,4744,"-1,177.00",-19.88,3727,5550
ضپال2006,اختيارخ اپال-28000-1401/02/12,13,457,980648000,2245,2003,2599,354.00,15.77,2146,-99.00,-4.41,1830,2599
اخزا817,اسنادخزانه-م17بودجه98-010512,13,18835,15759101784,842009,836196,842000,-9.00,0,836692,"-5,317.00",-0.63,836196,842000
سايرا,ايرانيت‌,12,4874,178144700,38072,36550,36550,"-1,522.00",-4.00,38016,-56.00,-0.15,36550,36550
تسه9811,امتياز تسهيلات مسكن بهمن98,12,140,81283849,580166,571222,590000,"9,834.00",1.70,580599,433.00,0.07,560000,599000
اخزا809,اسنادخزانه-م9بودجه98-000923,12,3158,2990943594,946948,947000,948000,"1,052.00",0.11,947101,153.00,0.02,942001,948500
ضملت8044,اختيارخ وبملت-4934-1400/08/19,11,155,32456000,287,266,250,-37.00,-12.89,209,-78.00,-27.18,30,266
سخند,صندوق س.سپهرخبرگان نفت-د,11,126670,1275517700,10030,10098,10060,30.00,0.30,10070,40.00,0.40,10050,10098
خفناور,مهندسي صنعتي روان فن آور,11,15531,694530789,46102,44719,44719,"-1,383.00",-3.00,46003,-99.00,-0.21,44719,44719
شكف,كف,11,2308,219516188,99073,95111,95111,"-3,962.00",-4.00,98982,-91.00,-0.09,95111,95111
سپيدما2,صندوق س. سپيد دماوند-د,10,100000000,100000000,10989,1,1,"-10,988.00",-99.99,1,"-10,988.00",-99.99,1,1
اوصتا2,صندوق انديشه ورزان صباتامين -د,10,50500000,50500000,19748,1,1,"-19,747.00",-99.99,1,"-19,747.00",-99.99,1,1
فسديد,لوله‌وتجهيزات‌ سديد - ورشكسته,10,744,79741176,109366,107179,107179,"-2,187.00",-2.00,109324,-42.00,-0.04,107179,107179
اخزا812,اسنادخزانه-م12بودجه98-001111,10,22265,20622698630,922744,923222,926000,"3,256.00",0.35,926238,"3,494.00",0.38,923222,927000
اخزا820,اسنادخزانه-م20بودجه98-020806,10,49083,32296614350,658446,658000,658001,-445.00,-0.07,658000,-446.00,-0.07,658000,658001
زعف0008پ11,زعفران0008نگين سحرخيز(پ),9,4200,586272100,144679,138890,141000,"-3,679.00",-2.54,139589,"-5,090.00",-3.52,138880,141000
ضصاد8034,اختيارخ وبصادر-2989-1400/08/12,9,900,195000000,187,190,250,63.00,33.69,217,30.00,16.04,190,250
ضجار7042,اختيارخ وتجارت-3497-1400/07/21,9,188,7648000,50,98,40,-10.00,-20.00,41,-9.00,-18.00,39,98
ثنظام,س. ساختماني نظام مهندسي ايران,9,1356,60869484,46277,44889,44889,"-1,388.00",-3.00,46268,-9.00,-0.02,44889,44889
تسه9907,امتياز تسهيلات مسكن مهر99,9,163,96037402,578984,578009,570000,"-8,984.00",-1.55,589186,"10,202.00",1.76,570000,607000
اخزا002,اسنادخزانه-م2بودجه00-031024,8,19828,10188673990,503404,510001,515800,"12,396.00",2.46,513853,"10,449.00",2.08,510001,515800
ساذري,آذريت‌,8,45173,349096944,7503,7728,7728,225.00,3.00,7512,9.00,0.12,7728,7728
شتولي,تولي‌پرس‌,8,3625,94739375,26668,26135,26135,-533.00,-2.00,26658,-10.00,-0.04,26135,26135
اخزا810,اسنادخزانه-م10بودجه98-001006,8,22152,21134595383,939173,940001,940010,837.00,0.09,954072,"14,899.00",1.59,940001,986131
نگين,ص.س. زمين و ساختمان نگين شهرري,8,2642,135260720,51630,52570,51070,-560.00,-1.08,51200,-430.00,-0.83,51060,52570
ضصاد8031,اختيارخ وبصادر-1789-1400/08/12,8,108,99984000,918,918,948,30.00,3.27,926,8.00,0.87,900,948
ضپنا8001,اختيارخ رمپنا-12000-1400/08/05,8,47,306840000,5208,5300,6500,"1,292.00",24.81,6529,"1,321.00",25.36,5300,8500
ضملي7002,اختيارخ فملي-9720-1400/07/11,7,43,170750000,3518,3700,4050,532.00,15.12,3971,453.00,12.88,3700,4100
اراد33,مرابحه عام دولت3-ش.خ 0303,7,1300,1148899900,886364,870001,887900,"1,536.00",0.17,883769,"-2,595.00",-0.29,870001,887900
همبين102,اختيارف ت مبين17952-01/02/10,7,12560,12560,1,1,1,0,0,1,0,0,1,1
زعف0008پ12,زعفران0008پوشالمعمول سحرخيز(پ),7,1200,143093250,119952,120000,113955,"-5,997.00",-5.00,119244,-708.00,-0.59,113955,120000
زعف0008پ08,زعفران0008نگين روستا(پ),7,20001,2761518069,143025,138069,138069,"-4,956.00",-3.47,138069,"-4,956.00",-3.47,138069,138069
ضسپا8039,اختيارخ خساپا-1200-1400/08/26,7,82,77184000,939,810,1057,118.00,12.57,941,2.00,0.21,810,1088
ضسپا8042,اختيارخ خساپا-1800-1400/08/26,7,530,259000000,461,450,500,39.00,8.46,489,28.00,6.07,450,500
اخزا818,اسنادخزانه-م18بودجه98-010614,7,4496,3699824685,820485,821555,823013,"2,528.00",0.31,822915,"2,430.00",0.30,821555,823013
اخزا811,اسنادخزانه-م11بودجه98-001013,7,10534,9886065446,935960,936500,936029,69.00,0.01,938491,"2,531.00",0.27,936029,939999
ضسپا8040,اختيارخ خساپا-1400-1400/08/26,6,105,82138000,798,779,820,22.00,2.76,782,-16.00,-2.01,778,820
تملي707,تسهيلات مسكن ب. ملي-مهر97,6,58,36123615,635100,610100,666855,"31,755.00",5.00,622821,"-12,279.00",-1.93,610100,666855
اخزا906,اسنادخزانه-م6بودجه99-020321,6,11735,8280771992,709999,707000,710999,"1,000.00",0.14,705647,"-4,352.00",-0.61,705000,710999
اخزا807,اسنادخزانه-م7بودجه98-000719,6,3028,2970165421,989466,980900,980900,"-8,566.00",-0.87,980900,"-8,566.00",-0.87,980900,980903
سرو2,صندوق س سروسودمند مدبران-سهام,6,600000,600000,86300,1,1,"-86,299.00",-100.00,1,"-86,299.00",-100.00,1,1
اراد50,مرابحه عام دولت5-ش.خ0302,6,145000,1.45E+11,1000002,1000001,1000001,-1.00,0,1000001,-1.00,0,1000001,1000001
