,,,,,,,,,,,,,,
دیده بان بازار : 1400/6/16,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
هبساز103,اختيارف ت ثبهساز-2346-01/03/18,3,30000,30000,1,1,1,0,0,1,0,0,1,1
پست0008پ04,پسته فندقي32-30سبزدانه0008(پ),3,54,94300000,1800000,1750000,1750000,"-50,000.00",-2.78,1746296,"-53,704.00",-2.98,1740000,1750000
ولقمان,سرمايه گذاري لقمان,3,30000,63060000,2002,2102,2102,100.00,5.00,2003,1.00,0.05,2102,2102
ضملي7002,اختيارخ فملي-9720-1400/07/11,3,10,40500000,4028,4100,4000,-28.00,-0.70,4050,22.00,0.55,4000,4100
زعف0008پ10,زعفران0008نگين طلاي سرخ(پ),3,714,98321842,152000,137000,140842,"-11,158.00",-7.34,137706,"-14,294.00",-9.40,137000,140842
ضبدر8074,اختيارخ شبندر-2595-1400/08/30,2,100,580816000,3471,1240,1240,"-2,231.00",-64.28,1240,"-2,231.00",-64.28,1240,1240
اراد334,مرابحه عام دولت3-ش.خ 0303,2,2687000,2.38317E+12,887516,886946,886900,-616.00,-0.07,886927,-589.00,-0.07,886900,886946
اراد644,مرابحه عام دولتي64-ش.خ0111,2,31530000,2.98969E+13,944500,948260,948150,"3,650.00",0.39,948205,"3,705.00",0.39,948150,948260
ميدكو2,توسعه معادن وص.معدني خاورميانه,2,75100000,3.5903E+12,45850,47000,48010,"2,160.00",4.71,47807,"1,957.00",4.27,47000,48010
ضذوب900,اختيارخ ذوب-2500-14000917,2,4,8300000,2110,2600,1900,-210.00,-9.95,2075,-35.00,-1.66,1900,2600
اراد33,مرابحه عام دولت3-ش.خ 0303,2,1500,1322999000,887516,870000,887999,483.00,0.05,881999,"-5,517.00",-0.62,870000,887999
كاردان2,صندوق س تجارت شاخصي كاردان,2,200000,200000,230410,1,1,"-230,409.00",-100.00,1,"-230,409.00",-100.00,1,1
ضپنا8001,اختيارخ رمپنا-12000-1400/08/05,2,20,154000000,7729,7800,7600,-129.00,-1.67,7700,-29.00,-0.38,7600,7800
زير0103پ02,زيره سبز0103 دانش(پ),2,77,61800000,822857,800000,810000,"-12,857.00",-1.56,802597,"-20,260.00",-2.46,800000,810000
زعف0008پ15,زعفران0008پوشالمعمول طلاسرخ(پ),2,2000,244000000,121996,122000,122000,4.00,0,122000,4.00,0,122000,122000
تملي803,تسهيلات مسكن ب. ملي-خرداد98,2,61,43195747,674407,708127,708127,"33,720.00",5.00,708127,"33,720.00",5.00,708127,708127
