نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
تملي704,تسهيلات مسكن ب. ملي-تير97,8,66,47171318,694718,659983,729453,"34,735.00",5.00,714717,"19,999.00",2.88,659983,729453
زعف0008پ12,زعفران0008پوشالمعمول سحرخيز(پ),8,1236,146977600,117124,116000,117999,875.00,0.75,118914,"1,790.00",1.53,112111,120000
ضملت8041,اختيارخ وبملت-3434-1400/08/19,8,162,133144000,780,860,847,67.00,8.59,822,42.00,5.38,770,860
اخزا817,اسنادخزانه-م17بودجه98-010512,8,45285,38016870358,837879,839457,839500,"1,621.00",0.19,839502,"1,623.00",0.19,839457,839509
ضفلا7004,اختيارخ فولاد-9586-1400/07/25,8,22,75283194,2491,2450,2450,-41.00,-1.65,2441,-50.00,-2.01,2400,2450
داريك2,صندوق س.اعتماد داريك-د,7,6170000,6170000,11436,1,1,"-11,435.00",-99.99,1,"-11,435.00",-99.99,1,1
اخزا721,اسنادخزانه-م21بودجه97-000728,7,1090,1068024042,977792,979990,979000,"1,208.00",0.12,979839,"2,047.00",0.21,979000,979999
حاريا,كشتيراني آريا,7,7209,110932092,15702,15388,15388,-314.00,-2.00,15695,-7.00,-0.04,15388,15388
اخزا906,اسنادخزانه-م6بودجه99-020321,7,7119,5036718195,707213,707700,708000,787.00,0.11,707504,291.00,0.04,707500,708000
ضملي7005,اختيارخ فملي-15720-1400/07/11,7,35,16283000,354,479,370,16.00,4.52,465,111.00,31.36,344,480
ضملي7002,اختيارخ فملي-9720-1400/07/11,7,46,185747000,4300,4045,4000,-300.00,-6.98,4038,-262.00,-6.09,4000,4050
ضپنا8001,اختيارخ رمپنا-12000-1400/08/05,7,24,218430000,8000,9000,9000,"1,000.00",12.50,9101,"1,101.00",13.76,9000,10440
ضپيك7044,اختيارخ تاپيكو-12070-00/07/18,6,52,131380000,2071,2500,2730,659.00,31.82,2527,456.00,22.02,2500,2730
ضفلا7005,اختيارخ فولاد-11013-1400/07/25,6,53,100576676,1457,1460,1304,-153.00,-10.50,1354,-103.00,-7.07,1304,1460
طخود7075,اختيارف خودرو-2000-1400/07/07,6,256,9445000,40,30,40,0,0,37,-3.00,-7.50,25,40
كمند2,صندوق س. با درآمد ثابت كمند,5,320000000,320000000,10012,1,1,"-10,011.00",-99.99,1,"-10,011.00",-99.99,1,1
وسقم,شركت س استان قم,5,24670,32046330,1367,1299,1299,-68.00,-4.97,1367,0,0,1299,1299
ضخود1049,اختيارخ خودرو-1400-1400/10/08,5,50,45000000,949,900,900,-49.00,-5.16,900,-49.00,-5.16,900,900
فولاد2,فولاد مباركه اصفهان,5,93175000,1.0828E+12,11600,11700,11600,0,0,11621,21.00,0.18,11600,11700
ضجار7037,اختيارخ وتجارت-1597-1400/07/21,5,62,61220000,967,1000,987,20.00,2.07,987,20.00,2.07,987,1000
اخزا810,اسنادخزانه-م10بودجه98-001006,5,26208,24722726604,942999,940003,943373,374.00,0.04,943327,328.00,0.03,940003,943373
سفارود,كارخانه فارسيت درود,5,1977,32088687,16562,16231,16231,-331.00,-2.00,16560,-2.00,-0.01,16231,16231
