نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
اخزا809,اسنادخزانه-م9بودجه98-000923,6,1281,1213039976,947723,947000,946710,"-1,013.00",-0.11,946948,-775.00,-0.08,946500,947000
افاد61,منفعت دولت6-ش.خاص140109,6,150000,1.47E+11,980000,980000,980000,0,0,980000,0,0,980000,980000
اراد46,مرابحه عام دولت4-ش.خ 0302,6,120000,1.2E+11,1000000,1000000,1000000,0,0,1000000,0,0,1000000,1000000
سحرا022,سلف موازي نيروي برق حرارتي022,6,1120000,3.49778E+11,315611,312302,312302,"-3,309.00",-1.05,312302,"-3,309.00",-1.05,312302,312302
اخزا813,اسنادخزانه-م13بودجه98-010219,5,2424,2125076466,878489,875603,878500,11.00,0,876682,"-1,807.00",-0.21,875603,878500
اخزا814,اسنادخزانه-م14بودجه98-010318,5,2173,1875668370,864760,862000,864000,-760.00,-0.09,863170,"-1,590.00",-0.18,862000,864000
شكف,كف,5,337,32722363,99080,97099,97099,"-1,981.00",-2.00,99073,-7.00,-0.01,97099,97099
تملي702,تسهيلات مسكن ب. ملي-ارديبهشت97,5,74,43925364,565320,593586,593586,"28,266.00",5.00,593586,"28,266.00",5.00,593586,593586
اخزا818,اسنادخزانه-م18بودجه98-010614,5,261,214146472,819910,819900,821002,"1,092.00",0.13,820485,575.00,0.07,819900,821002
هنوري102,اختيارف ت نوري59561-01/02/15,5,10512,10512,1,1,1,0,0,1,0,0,1,1
ضپيك7042,اختيارخ تاپيكو-8070-00/07/18,5,10,65800000,5501,6500,6700,"1,199.00",21.80,6580,"1,079.00",19.61,6400,6700
كابگن,توليدي و صنعتي آبگينه‌,5,50897,286295625,5570,5625,5625,55.00,0.99,5576,6.00,0.11,5625,5625
وسالت,بانك قرض الحسنه رسالت,5,73766,86084922,1112,1167,1167,55.00,4.95,1112,0,0,1167,1167
ضشنا8001,اختيارخ شپنا-6800-1400/08/16,5,31,217903000,7500,7011,7600,100.00,1.33,7029,-471.00,-6.28,7010,7600
اراد334,مرابحه عام دولت3-ش.خ 0303,4,3542000,3.13974E+12,886990,886839,883800,"-3,190.00",-0.36,886433,-557.00,-0.06,883800,886839
ضملي7002,اختيارخ فملي-9720-1400/07/11,4,102,358800000,4712,3700,4300,-412.00,-8.74,3518,"-1,194.00",-25.34,3500,4300
اراد72,مرابحه عام دولت72-ش.خ0311,4,20100,19899000000,977329,990000,990000,"12,671.00",1.30,990000,"12,671.00",1.30,990000,990000
ثاژن,سخت آژند,4,3711,33198606,9128,8946,8946,-182.00,-1.99,9127,-1.00,-0.01,8946,8946
ضذوب906,اختيارخ ذوب-6000-14000917,4,235,94000000,497,400,400,-97.00,-19.52,400,-97.00,-19.52,400,400
پست0008پ08,پسته فندقي32-30مه ولات0008(پ),4,10,17775971,1820435,1766269,1828120,"7,685.00",0.42,1777597,"-42,838.00",-2.35,1748201,1828120
ضجار7039,اختيارخ وتجارت-1997-1400/07/21,4,21,17160000,721,800,800,79.00,10.96,817,96.00,13.31,800,830
